File_name,Emotion_by_TextAPI,Emotion_by_RealTimeAPI,Original_Emotion
dia0_utt6.mp4,Error,Error,neutral
dia6_utt7.mp4,Joy,Joy,neutral
dia8_utt0.mp4,Sadness,Error,neutral
dia9_utt11.mp4,Neutral,Unknown,neutral
dia14_utt5.mp4,Fear,Joy,neutral
dia15_utt12.mp4,Fear,Error,neutral
dia15_utt13.mp4,Neutral,Anger,neutral
dia17_utt2.mp4,Neutral,Joy,neutral
dia18_utt4.mp4,Neutral,Unknown,neutral
dia19_utt0.mp4,Neutral,Error,neutral
dia21_utt10.mp4,Sadness,Error,neutral
dia22_utt3.mp4,Neutral,Error,neutral
dia24_utt0.mp4,Disgust,Joy,neutral
dia24_utt6.mp4,Neutral,Joy,neutral
dia25_utt10.mp4,Joy,Unknown,neutral
dia26_utt13.mp4,Neutral,Disgust,neutral
dia30_utt2.mp4,Neutral,Joy,neutral
dia31_utt0.mp4,Neutral,Joy,neutral
dia33_utt5.mp4,Surprise,Error,neutral
dia34_utt1.mp4,Neutral,Error,neutral
dia34_utt2.mp4,Neutral,Unknown,neutral
dia34_utt5.mp4,Sadness,Unknown,neutral
dia34_utt10.mp4,Anger,Unknown,neutral
dia37_utt0.mp4,Neutral,Error,neutral
dia39_utt13.mp4,Neutral,Joy,neutral
dia39_utt14.mp4,Neutral,Joy,neutral
dia41_utt3.mp4,Neutral,Error,neutral
dia43_utt3.mp4,Sadness,Neutral,neutral
dia43_utt4.mp4,Disgust,Anger,neutral
dia45_utt4.mp4,Neutral,Error,neutral
dia47_utt0.mp4,Anger,Unknown,neutral
dia47_utt2.mp4,Neutral,Neutral,neutral
dia49_utt1.mp4,Neutral,Unknown,neutral
dia49_utt11.mp4,Neutral,Joy,neutral
dia49_utt17.mp4,Joy,Error,neutral
dia50_utt4.mp4,Fear,Neutral,neutral
dia51_utt2.mp4,Neutral,Neutral,neutral
dia52_utt10.mp4,Surprise,Neutral,neutral
dia54_utt5.mp4,Joy,Joy,neutral
dia56_utt3.mp4,Neutral,Error,neutral
dia58_utt6.mp4,Neutral,Joy,neutral
dia59_utt0.mp4,Joy,Unknown,neutral
dia62_utt0.mp4,Joy,Joy,neutral
dia64_utt6.mp4,Joy,Error,neutral
dia64_utt10.mp4,Neutral,Error,neutral
dia67_utt14.mp4,Neutral,Unknown,neutral
dia69_utt2.mp4,Neutral,Error,neutral
dia70_utt3.mp4,Neutral,Unknown,neutral
dia72_utt4.mp4,Neutral,Joy,neutral
dia76_utt4.mp4,Sadness,Neutral,neutral
dia1_utt2.mp4,Anger,Error,surprise
