File_name,Emotion_by_TextAPI,Emotion_by_RealTimeAPI,Original_Emotion
dia0_utt6.mp4,Error,Error,neutral
dia6_utt7.mp4,Joy,Joy,neutral
dia8_utt0.mp4,Sadness,Joy,neutral
dia9_utt11.mp4,Neutral,Neutral,neutral
dia14_utt5.mp4,Neutral,Joy,neutral
dia15_utt12.mp4,Fear,Joy,neutral
dia15_utt13.mp4,Neutral,Neutral,neutral
dia17_utt2.mp4,Neutral,Neutral,neutral
dia18_utt4.mp4,Neutral,Joy,neutral
dia19_utt0.mp4,Neutral,Joy,neutral
dia21_utt10.mp4,Neutral,Joy,neutral
dia22_utt3.mp4,Neutral,Fear,neutral
dia24_utt0.mp4,Disgust,Joy,neutral
dia24_utt6.mp4,Neutral,Joy,neutral
dia25_utt10.mp4,Joy,Joy,neutral
dia26_utt13.mp4,Surprise,Joy,neutral
dia30_utt2.mp4,Neutral,Neutral,neutral
dia31_utt0.mp4,Neutral,Joy,neutral
dia33_utt5.mp4,Surprise,Surprise,neutral
dia34_utt1.mp4,Neutral,Joy,neutral
dia34_utt2.mp4,Neutral,Neutral,neutral
dia34_utt5.mp4,Sadness,Disgust,neutral
dia34_utt10.mp4,Anger,Joy,neutral
dia37_utt0.mp4,Neutral,Joy,neutral
dia39_utt13.mp4,Disgust,Neutral,neutral
dia39_utt14.mp4,Neutral,Joy,neutral
dia41_utt3.mp4,Neutral,Neutral,neutral
dia43_utt3.mp4,Sadness,Neutral,neutral
dia43_utt4.mp4,Disgust,Anger,neutral
dia45_utt4.mp4,Neutral,Joy,neutral
dia47_utt0.mp4,Anger,Neutral,neutral
dia47_utt2.mp4,Neutral,Neutral,neutral
dia49_utt1.mp4,Disgust,Neutral,neutral
dia49_utt11.mp4,Neutral,Neutral,neutral
dia49_utt17.mp4,Neutral,Neutral,neutral
dia50_utt4.mp4,Fear,Fear,neutral
dia51_utt2.mp4,Neutral,Neutral,neutral
dia52_utt10.mp4,Surprise,Joy,neutral
dia54_utt5.mp4,Joy,Joy,neutral
dia56_utt3.mp4,Neutral,Neutral,neutral
dia58_utt6.mp4,Neutral,Anger,neutral
dia59_utt0.mp4,Joy,Joy,neutral
dia62_utt0.mp4,Joy,Joy,neutral
dia64_utt6.mp4,Joy,Joy,neutral
dia64_utt10.mp4,Anger,Neutral,neutral
dia67_utt14.mp4,Neutral,Surprise,neutral
dia69_utt2.mp4,Neutral,Neutral,neutral
dia70_utt3.mp4,Neutral,Neutral,neutral
dia72_utt4.mp4,Neutral,Neutral,neutral
dia76_utt4.mp4,Sadness,Neutral,neutral
